	Barcodes
A?0383.00 , CV. Plainsman Amaranth	A?0383.00
Cq0346.00 , Embrapa	Cq0346.00
Cq0347.00 , England	Cq0347.00
Cq0348.00 , Kamiri	Cq0348.00
Cq0349.00 , BAER II	Cq0349.00
Cq0350.00 , BAER II	Cq0350.00
Cq0351.00 , Illpa-INIA	Cq0351.00
Cq0352.00 , PI 634923	Cq0352.00
Cq0353.00 , BO-3	Cq0353.00
Cq0354.00 , BO-11	Cq0354.00
Cq0355.00 , BO-13	Cq0355.00
Cq0356.00 , BO-16	Cq0356.00
Cq0357.00 , BO-17	Cq0357.00
Cq0358.00 , BO-29	Cq0358.00
Cq0359.00 , BO-30	Cq0359.00
Cq0360.00 , BO-31	Cq0360.00
Cq0361.00 , BO-32	Cq0361.00
Cq0362.00 , BO-40	Cq0362.00
Cq0363.00 , BO-42	Cq0363.00
Cq0364.00 , BO-46-2	Cq0364.00
Cq0365.00 , B0-51	Cq0365.00
Cq0366.00 , BO-55	Cq0366.00
Cq0367.00 , BO-58	Cq0367.00
Cq0368.00 , BO-60	Cq0368.00
Cq0369.00 , BO-52	Cq0369.00
Cq0370.00 , BO-63	Cq0370.00
Cq0371.00 , NL-6	Cq0371.00
Cq0372.00 , Regalona	Cq0372.00
Cq0373.00 , Puc-Mix Red	Cq0373.00
Cq0374.00 , Javi	Cq0374.00
Cq0375.00 , Puc-Mix Green	Cq0375.00
Cq0376.00 , Red Head	Cq0376.00
Cq0377.00 , PAL	Cq0377.00
Cq0378.00 , PI 667180	Cq0378.00
Cq0379.00 , Shelly 25 Black	Cq0379.00
Cq0380.00 , Nde-09	Cq0380.00
Cq0381.00 , Oro de valle	Cq0381.00
Cq0387.00 , RU-5	Cq0387.00
Cq0388.00 , Brightest Brilliant Rainbow	Cq0388.00
Cq0389.00 , Linares	Cq0389.00
Cq0390.00 , Black	Cq0390.00
Cq0391.00 , Kaslaea	Cq0391.00
Cq0392.00 , Ku-2	Cq0392.00
Cq0393.00 , Temuko	Cq0393.00
Cq0394.00 , Redhead	Cq0394.00
Cq0395.00 , Cahuil	Cq0395.00
Cq0396.00 , Puno	Cq0396.00
Cq0397.00 , Blanca	Cq0397.00
Cq0398.00 , C0407 Dave	Cq0398.00
Cq0399.00 , Titicaca	Cq0399.00
Cq0400.00 , Isluga	Cq0400.00
Cq0401.00 , Cherry Vanilla	Cq0401.00
Cq0402.00 , Oro de valle	Cq0402.00
Cq0403.00 , Baer 53	Cq0403.00
Cq0404.00 , QQ74	Cq0404.00
Cq0405.00 , NL-6	Cq0405.00
Cr0066.00 , PI 666324	Cr0066.00
Cs0065.00 , PI 666323	Cs0065.00
Cw0067.00 , PI 666327	Cw0067.00
	
